,Category,Series,ModelName,Colour&Chassis,Description,Warrenty,MRP
13,NO,ROG-Strix G,G531GD-BQ036T,BLACK W+LIGHTBAR,i5-9300H +GTX 1050-4GB +8GB +1TB SSHD(FireCuda) +15.6'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,77990
14,Premium,TUF Gaming,FX505DV-AL026T,GUN METAL,R7-3750H +RTX2060-6GB +16GB +512GB PCIE SSD +15.6'+120Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1A-GUN METAL,1Y,123990
15,NO,ROG-Strix G,G531GT-BQ024T,BLACK W+LIGHTBAR,i5-9300H +GTX 1650-4GB +8GB +1TB SSHD(FireCuda)+256GB PCIE SSD +15.6'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,100990
16,Premium,TUF Gaming,FX705DY-AU072T,1B-BLACK PLASTIC,R5-3550H +RX560X-4GB +8GB +512GB PCIE SSD +17.3'+60Hz+Illuminated Chiclet Keyboard +WIN 10 +Color: 1B-BLACK PLASTIC,1Y,71990
17,NO,ROG-Strix G,G531GT-BQ124T,BLACK W+LIGHTBAR+,i5-9300H+ GTX1650+ 8G+ 1T SSD+ 15.6 FHD-60hz+ + BLACK W+LIGHTBAR+,1Y,101990
18,Premium,TUF Gaming,FX705DT-AU028T,BLACK PLASTIC,R7-3750H +GTX 1650-4GB +8GB +512GB PCIE SSD +17.3'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1B-BLACK PLASTIC,1Y,90990
19,Platinum,ROG-Strix Scar III,G531GU-ES016T,SCAR Gunmetal,i7-9750H +GTX 1660Ti-6GB +16GB +1TB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard 4-Zone RGB+NumberPad +WIN 10 +Color: 1A-SCAR Gunmetal,1Y,188990
20,Platinum,ROG-Strix G,G531GU-ES511T,BLACK W+LIGHTBAR,i5-9300H +GTX 1660Ti-6GB +16GB +1TB PCIE SSD +15.6'+144Hz+3ms +RGB backlit keyboard (1-Zone) +WIFI5(802.11AC)2*2 +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,142990
21,Platinum,ROG-Strix Scar III,G531GV-AZ289T,1A-SCAR Gunmetal,i7-9750H +RTX2060-6GB +16GB +1TB PCIE SSD +15.6'+240Hz+3ms +Illuminated Chiclet Keyboard Per-Key RGB+NumberPad +WIN 10 +Color: 1A-SCAR Gunmetal,1Y,201990
22,Platinum,ROG-G,G703GXR-EV078R,Aluminum,"i9-9980HK +RTX2080-8GB +32GB +1TB SSHD(FireCuda)+512GB PCIE SSD*3 +17.3'+144Hz+3ms +Illuminated Chiclet Keyboard Per-Key RGB +WIN 10 Pro +Accy in box: Bag, MOUSE(GLADIUS2), HEADSET +Color: Aluminum
Titanium with hairline",1Y,519990
23,Platinum,ROG-Strix G,G731GT-AU022T,BLACK W+LIGHTBAR,i5-9300H +GTX 1650-4GB +8GB +1TB SSHD(FireCuda)+256GB PCIE SSD +17.3'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,103990
24,Platinum,ROG-Strix G,G731GT-H7114T,BLACK W+LIGHTBAR,i7-9750H +GTX1650-4GB +8GB +512GB PCIE SSD +17.3'+120Hz+16ms +RGB backlit Keyboard (1-Zone) +WIFI5(802.11AC)2*2 +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,111990
